corridor,date,day_of_week,departure_time,arrival_time,from_stop,to_stop,from_name,to_name,from_coord,to_coord,distance_km,travel_time_min,effective_speed_kmh,traffic_condition,cumulative_time_min
Angkot Feeder Koridor 8,2025-09-29,Monday,07:23:42,07:26:01,20,21,Simpang Bandara A,Simpang Talang Jambe,"""-2.902958333333333,104.7272972222222""","""-2.895658333333333,104.7260027777778""",0.824,2.32,21.3,Moderate,86.02
Angkot Feeder Koridor 8,2025-09-29,Monday,07:26:01,07:27:20,21,22,Simpang Talang Jambe,YAPIS Hikmatul Furqon A,"""-2.895658333333333,104.7260027777778""","""-2.896013888888889,104.7227416666667""",0.364,1.32,16.6,Heavy,87.34
Angkot Feeder Koridor 8,2025-09-29,Monday,07:27:20,07:28:49,22,23,YAPIS Hikmatul Furqon A,Perum Graha Utama Bandara,"""-2.896013888888889,104.7227416666667""","""-2.895738888888889,104.7190888888889""",0.407,1.49,16.4,Heavy,88.83
Angkot Feeder Koridor 8,2025-09-29,Monday,07:28:49,07:29:51,23,24,Perum Graha Utama Bandara,Simpang Karantina A,"""-2.895738888888889,104.7190888888889""","""-2.896233333333333,104.7163416666667""",0.31,1.02,18.2,Heavy,89.85
Angkot Feeder Koridor 8,2025-09-29,Monday,07:29:51,07:29:52,24,25,Simpang Karantina A,Simpang Karantina B,"""-2.896233333333333,104.7163416666667""","""-2.896163888888889,104.7163444444444""",0.008,0.03,17.3,Heavy,89.88
Angkot Feeder Koridor 8,2025-09-29,Monday,07:29:52,07:31:01,25,26,Simpang Karantina B,Perum Graha Utama Bandara B,"""-2.896163888888889,104.7163444444444""","""-2.895672222222222,104.7189583333333""",0.295,1.14,15.6,Heavy,91.02
Angkot Feeder Koridor 8,2025-09-29,Monday,07:31:01,07:33:24,26,27,Perum Graha Utama Bandara B,YAPIS Hikmatul Furqon B,"""-2.895672222222222,104.7189583333333""","""-2.895005555555556,104.7245833333333""",0.629,2.38,15.8,Heavy,93.4
Angkot Feeder Koridor 8,2025-09-29,Monday,07:33:24,07:34:16,27,28,YAPIS Hikmatul Furqon B,Lorong Bambu Kuning,"""-2.895005555555556,104.7245833333333""","""-2.896638888888889,104.7257277777778""",0.222,0.87,15.3,Heavy,94.27
Angkot Feeder Koridor 8,2025-09-29,Monday,07:34:16,07:38:25,28,29,Lorong Bambu Kuning,PDK B,"""-2.896638888888889,104.7257277777778""","""-2.907849999999999,104.7248638888889""",1.25,4.16,18.1,Heavy,98.43
Angkot Feeder Koridor 8,2025-09-29,Monday,07:38:25,07:40:46,29,30,PDK B,Palembang Asrama Haji,"""-2.907849999999999,104.7248638888889""","""-2.909666666666666,104.71835""",0.751,2.35,19.2,Heavy,100.78
Angkot Feeder Koridor 8,2025-09-29,Monday,07:40:46,07:41:45,30,31,Palembang Asrama Haji,BCA,"""-2.909666666666666,104.71835""","""-2.910311111111111,104.7161333333333""",0.256,0.97,15.9,Heavy,101.75
Angkot Feeder Koridor 8,2025-09-29,Monday,07:41:45,07:44:36,31,32,BCA,Asrama Haji A,"""-2.910311111111111,104.7161333333333""","""-2.917041666666667,104.7122111111111""",0.866,2.85,18.2,Heavy,104.6
Angkot Feeder Koridor 8,2025-09-29,Monday,07:44:36,07:45:34,32,33,Asrama Haji A,LRT Asrama Haji,"""-2.917041666666667,104.7122111111111""","""-2.919558333333333,104.7119138888889""",0.282,0.98,17.2,Heavy,105.58
Angkot Feeder Koridor 8,2025-09-29,Monday,07:45:34,07:45:39,33,34,LRT Asrama Haji,Untitled Placemark,"""-2.919558333333333,104.7119138888889""","""-2.919480555555556,104.7117722222222""",0.018,0.07,15.0,Heavy,105.65
Angkot Feeder Koridor 8,2025-09-29,Monday,07:45:39,07:54:31,34,35,Untitled Placemark,Untitled Placemark,"""-2.919480555555556,104.7117722222222""","""-2.896227777777778,104.7163111111111""",2.634,8.87,17.8,Heavy,114.52
Angkot Feeder Koridor 8,2025-09-29,Monday,07:00:00,07:12:46,1,2,Unknown,Unknown,"""-2.8950056,104.7245833""","""-2.9194806,104.7117722""",3.071,12.77,14.4,Heavy,12.77
Angkot Feeder Koridor 8,2025-09-29,Monday,07:12:46,07:24:25,2,3,Unknown,Head south on Lrg. Tj. Harapan toward Jl. AMD,"""-2.9194806,104.7117722""","""-2.8949988,104.7245572""",3.07,11.66,15.8,Heavy,24.43
Angkot Feeder Koridor 8,2025-09-29,Monday,07:24:25,07:24:28,3,4,Head south on Lrg. Tj. Harapan toward Jl. AMD,Turn left onto Jl. AMD,"""-2.8949988,104.7245572""","""-2.8950945,104.7245324""",0.011,0.04,17.6,Heavy,24.47
Angkot Feeder Koridor 8,2025-09-29,Monday,07:24:28,07:25:25,4,5,Turn left onto Jl. AMD,Turn right onto Jl. Tj. Api-Api/Jl. Tj. Siapi Api,"""-2.8950945,104.7245324""","""-2.8953786,104.7265849""",0.23,0.95,14.6,Heavy,25.42
Angkot Feeder Koridor 8,2025-09-29,Monday,07:25:25,07:28:35,5,6,Turn right onto Jl. Tj. Api-Api/Jl. Tj. Siapi Api,Continue straight onto Jl. Letjen Harun Sohar/Jl. Tj. Api-Api,"""-2.8953786,104.7265849""","""-2.9036224,104.7276603""",0.924,3.17,17.5,Heavy,28.59
Angkot Feeder Koridor 8,2025-09-29,Monday,07:28:35,07:36:38,6,7,Continue straight onto Jl. Letjen Harun Sohar/Jl. Tj. Api-Api,Make a U-turn,"""-2.9036224,104.7276603""","""-2.9205337,104.7117472""",2.581,8.05,19.2,Heavy,36.64
Angkot Feeder Koridor 8,2025-09-29,Monday,07:36:38,07:48:12,7,8,Make a U-turn,K8 Asrama Haji - Talang Jambe - Asrama Haji,"""-2.9205337,104.7117472""","""-2.895029999999999,104.72458""",3.174,11.56,16.5,Heavy,48.2
Angkot Feeder Koridor 8,2025-09-29,Monday,07:48:12,07:51:36,8,9,K8 Asrama Haji - Talang Jambe - Asrama Haji,Unknown,"""-2.895029999999999,104.72458""","""-2.8962278,104.7163111""",0.928,3.4,16.4,Heavy,51.6
Angkot Feeder Koridor 8,2025-09-29,Monday,07:51:36,07:54:22,9,10,Unknown,Unknown,"""-2.8962278,104.7163111""","""-2.8950056,104.7245833""",0.929,2.78,20.1,Moderate,54.38
Angkot Feeder Koridor 8,2025-09-29,Monday,07:54:22,07:57:16,10,11,Unknown,Head east on Jl. AMD toward Jl. Pesantren Sultan Mahmud Baddaruddin II,"""-2.8950056,104.7245833""","""-2.896204099999999,104.7163186""",0.927,2.89,19.3,Heavy,57.27
Angkot Feeder Koridor 8,2025-09-29,Monday,07:57:16,08:00:34,11,12,Head east on Jl. AMD toward Jl. Pesantren Sultan Mahmud Baddaruddin II,Turn left onto Lrg. Tj. Harapan,"""-2.896204099999999,104.7163186""","""-2.8950945,104.7245324""",0.92,3.31,16.7,Heavy,60.58
Angkot Feeder Koridor 8,2025-09-29,Monday,08:00:34,08:02:51,12,13,Turn left onto Lrg. Tj. Harapan,Head east on Jl. AMD toward Jl. Pesantren Sultan Mahmud Baddaruddin II,"""-2.8950945,104.7245324""","""-2.896204099999999,104.7163186""",0.92,2.28,24.2,Moderate,62.86
Angkot Feeder Koridor 8,2025-09-29,Monday,08:02:51,08:05:07,13,14,Head east on Jl. AMD toward Jl. Pesantren Sultan Mahmud Baddaruddin II,Turn left onto Lrg. Tj. Harapan,"""-2.896204099999999,104.7163186""","""-2.8950945,104.7245324""",0.92,2.26,24.5,Moderate,65.12
Angkot Feeder Koridor 8,2025-09-29,Monday,08:05:07,08:07:34,14,15,Turn left onto Lrg. Tj. Harapan,K8 Asrama Haji - Talang Jambe - Asrama Haji,"""-2.8950945,104.7245324""","""-2.89617,104.71635""",0.917,2.45,22.4,Moderate,67.57
Angkot Feeder Koridor 8,2025-09-29,Monday,08:07:34,08:14:43,15,16,K8 Asrama Haji - Talang Jambe - Asrama Haji,Stasiun LRT Asrama Haji A,"""-2.89617,104.71635""","""-2.91935,104.7114055555555""",2.635,7.16,22.1,Moderate,74.73
Angkot Feeder Koridor 8,2025-09-29,Monday,08:14:43,08:15:36,16,17,Stasiun LRT Asrama Haji A,Asrama Haji B,"""-2.91935,104.7114055555555""","""-2.916513888888889,104.7120194444445""",0.323,0.88,22.0,Moderate,75.61
Angkot Feeder Koridor 8,2025-09-29,Monday,08:15:36,08:17:20,17,18,Asrama Haji B,Kerajinan Karet B,"""-2.916513888888889,104.7120194444445""","""-2.910758333333333,104.7145361111111""",0.698,1.73,24.2,Moderate,77.34
Angkot Feeder Koridor 8,2025-09-29,Monday,08:17:20,08:20:51,18,19,Kerajinan Karet B,PDK,"""-2.910758333333333,104.7145361111111""","""-2.907272222222222,104.7251888888889""",1.245,3.52,21.2,Moderate,80.86
Angkot Feeder Koridor 8,2025-09-29,Monday,08:20:51,08:22:18,19,20,PDK,Simpang Bandara A,"""-2.907272222222222,104.7251888888889""","""-2.902958333333333,104.7272972222222""",0.534,1.45,22.1,Moderate,82.31
Angkot Feeder Koridor 8,2025-09-29,Monday,08:22:18,08:24:27,20,21,Simpang Bandara A,Simpang Talang Jambe,"""-2.902958333333333,104.7272972222222""","""-2.895658333333333,104.7260027777778""",0.824,2.14,23.1,Moderate,84.45
Angkot Feeder Koridor 8,2025-09-29,Monday,08:24:27,08:25:17,21,22,Simpang Talang Jambe,YAPIS Hikmatul Furqon A,"""-2.895658333333333,104.7260027777778""","""-2.896013888888889,104.7227416666667""",0.364,0.84,26.1,Moderate,85.29
Angkot Feeder Koridor 8,2025-09-29,Monday,08:25:17,08:26:20,22,23,YAPIS Hikmatul Furqon A,Perum Graha Utama Bandara,"""-2.896013888888889,104.7227416666667""","""-2.895738888888889,104.7190888888889""",0.407,1.05,23.2,Moderate,86.34
Angkot Feeder Koridor 8,2025-09-29,Monday,08:26:20,08:27:15,23,24,Perum Graha Utama Bandara,Simpang Karantina A,"""-2.895738888888889,104.7190888888889""","""-2.896233333333333,104.7163416666667""",0.31,0.92,20.3,Moderate,87.26
Angkot Feeder Koridor 8,2025-09-29,Monday,08:27:15,08:27:16,24,25,Simpang Karantina A,Simpang Karantina B,"""-2.896233333333333,104.7163416666667""","""-2.896163888888889,104.7163444444444""",0.008,0.02,19.9,Heavy,87.28
Angkot Feeder Koridor 8,2025-09-29,Monday,08:27:16,08:28:06,25,26,Simpang Karantina B,Perum Graha Utama Bandara B,"""-2.896163888888889,104.7163444444444""","""-2.895672222222222,104.7189583333333""",0.295,0.82,21.6,Moderate,88.1
Angkot Feeder Koridor 8,2025-09-29,Monday,08:28:06,08:29:51,26,27,Perum Graha Utama Bandara B,YAPIS Hikmatul Furqon B,"""-2.895672222222222,104.7189583333333""","""-2.895005555555556,104.7245833333333""",0.629,1.75,21.6,Moderate,89.85
Angkot Feeder Koridor 8,2025-09-29,Monday,08:29:51,08:30:26,27,28,YAPIS Hikmatul Furqon B,Lorong Bambu Kuning,"""-2.895005555555556,104.7245833333333""","""-2.896638888888889,104.7257277777778""",0.222,0.59,22.4,Moderate,90.44
Angkot Feeder Koridor 8,2025-09-29,Monday,08:30:26,08:33:45,28,29,Lorong Bambu Kuning,PDK B,"""-2.896638888888889,104.7257277777778""","""-2.907849999999999,104.7248638888889""",1.25,3.31,22.7,Moderate,93.75
Angkot Feeder Koridor 8,2025-09-29,Monday,08:33:45,08:35:55,29,30,PDK B,Palembang Asrama Haji,"""-2.907849999999999,104.7248638888889""","""-2.909666666666666,104.71835""",0.751,2.17,20.8,Moderate,95.92
Angkot Feeder Koridor 8,2025-09-29,Monday,08:35:55,08:36:38,30,31,Palembang Asrama Haji,BCA,"""-2.909666666666666,104.71835""","""-2.910311111111111,104.7161333333333""",0.256,0.72,21.2,Moderate,96.64
Angkot Feeder Koridor 8,2025-09-29,Monday,08:36:38,08:38:41,31,32,BCA,Asrama Haji A,"""-2.910311111111111,104.7161333333333""","""-2.917041666666667,104.7122111111111""",0.866,2.05,25.3,Moderate,98.69
Angkot Feeder Koridor 8,2025-09-29,Monday,08:38:41,08:39:24,32,33,Asrama Haji A,LRT Asrama Haji,"""-2.917041666666667,104.7122111111111""","""-2.919558333333333,104.7119138888889""",0.282,0.71,23.9,Moderate,99.4
Angkot Feeder Koridor 8,2025-09-29,Monday,08:39:24,08:39:27,33,34,LRT Asrama Haji,Untitled Placemark,"""-2.919558333333333,104.7119138888889""","""-2.919480555555556,104.7117722222222""",0.018,0.05,23.0,Moderate,99.45
Angkot Feeder Koridor 8,2025-09-29,Monday,08:39:27,08:46:34,34,35,Untitled Placemark,Untitled Placemark,"""-2.919480555555556,104.7117722222222""","""-2.896227777777778,104.7163111111111""",2.634,7.12,22.2,Moderate,106.57
Angkot Feeder Koridor 8,2025-09-29,Monday,08:00:00,08:08:01,1,2,Unknown,Unknown,"""-2.8950056,104.7245833""","""-2.9194806,104.7117722""",3.071,8.03,22.9,Moderate,8.03
Angkot Feeder Koridor 8,2025-09-29,Monday,08:08:01,08:15:46,2,3,Unknown,Head south on Lrg. Tj. Harapan toward Jl. AMD,"""-2.9194806,104.7117722""","""-2.8949988,104.7245572""",3.07,7.74,23.8,Moderate,15.77
Angkot Feeder Koridor 8,2025-09-29,Monday,08:15:46,08:15:48,3,4,Head south on Lrg. Tj. Harapan toward Jl. AMD,Turn left onto Jl. AMD,"""-2.8949988,104.7245572""","""-2.8950945,104.7245324""",0.011,0.03,22.8,Moderate,15.8
Angkot Feeder Koridor 8,2025-09-29,Monday,08:15:48,08:16:26,4,5,Turn left onto Jl. AMD,Turn right onto Jl. Tj. Api-Api/Jl. Tj. Siapi Api,"""-2.8950945,104.7245324""","""-2.8953786,104.7265849""",0.23,0.64,21.5,Moderate,16.44
Angkot Feeder Koridor 8,2025-09-29,Monday,08:16:26,08:18:56,5,6,Turn right onto Jl. Tj. Api-Api/Jl. Tj. Siapi Api,Continue straight onto Jl. Letjen Harun Sohar/Jl. Tj. Api-Api,"""-2.8953786,104.7265849""","""-2.9036224,104.7276603""",0.924,2.5,22.1,Moderate,18.94
Angkot Feeder Koridor 8,2025-09-29,Monday,08:18:56,08:25:22,6,7,Continue straight onto Jl. Letjen Harun Sohar/Jl. Tj. Api-Api,Make a U-turn,"""-2.9036224,104.7276603""","""-2.9205337,104.7117472""",2.581,6.43,24.1,Moderate,25.37
Angkot Feeder Koridor 8,2025-09-29,Monday,08:25:22,08:34:39,7,8,Make a U-turn,K8 Asrama Haji - Talang Jambe - Asrama Haji,"""-2.9205337,104.7117472""","""-2.895029999999999,104.72458""",3.174,9.28,20.5,Moderate,34.65
Angkot Feeder Koridor 8,2025-09-29,Monday,08:34:39,08:37:09,8,9,K8 Asrama Haji - Talang Jambe - Asrama Haji,Unknown,"""-2.895029999999999,104.72458""","""-2.8962278,104.7163111""",0.928,2.51,22.2,Moderate,37.16
Angkot Feeder Koridor 8,2025-09-29,Monday,08:37:09,08:39:56,9,10,Unknown,Unknown,"""-2.8962278,104.7163111""","""-2.8950056,104.7245833""",0.929,2.78,20.0,Moderate,39.94
Angkot Feeder Koridor 8,2025-09-29,Monday,08:39:56,08:42:07,10,11,Unknown,Head east on Jl. AMD toward Jl. Pesantren Sultan Mahmud Baddaruddin II,"""-2.8950056,104.7245833""","""-2.896204099999999,104.7163186""",0.927,2.18,25.5,Moderate,42.12
Angkot Feeder Koridor 8,2025-09-29,Monday,08:42:07,08:44:24,11,12,Head east on Jl. AMD toward Jl. Pesantren Sultan Mahmud Baddaruddin II,Turn left onto Lrg. Tj. Harapan,"""-2.896204099999999,104.7163186""","""-2.8950945,104.7245324""",0.92,2.28,24.2,Moderate,44.4
Angkot Feeder Koridor 8,2025-09-29,Monday,08:44:24,08:46:42,12,13,Turn left onto Lrg. Tj. Harapan,Head east on Jl. AMD toward Jl. Pesantren Sultan Mahmud Baddaruddin II,"""-2.8950945,104.7245324""","""-2.896204099999999,104.7163186""",0.92,2.31,23.9,Moderate,46.71
Angkot Feeder Koridor 8,2025-09-29,Monday,08:46:42,08:48:58,13,14,Head east on Jl. AMD toward Jl. Pesantren Sultan Mahmud Baddaruddin II,Turn left onto Lrg. Tj. Harapan,"""-2.896204099999999,104.7163186""","""-2.8950945,104.7245324""",0.92,2.26,24.5,Moderate,48.97
Angkot Feeder Koridor 8,2025-09-29,Monday,08:48:58,08:51:12,14,15,Turn left onto Lrg. Tj. Harapan,K8 Asrama Haji - Talang Jambe - Asrama Haji,"""-2.8950945,104.7245324""","""-2.89617,104.71635""",0.917,2.23,24.6,Moderate,51.2
Angkot Feeder Koridor 8,2025-09-29,Monday,08:51:12,08:58:01,15,16,K8 Asrama Haji - Talang Jambe - Asrama Haji,Stasiun LRT Asrama Haji A,"""-2.89617,104.71635""","""-2.91935,104.7114055555555""",2.635,6.83,23.2,Moderate,58.03
Angkot Feeder Koridor 8,2025-09-29,Monday,08:58:01,08:58:57,16,17,Stasiun LRT Asrama Haji A,Asrama Haji B,"""-2.91935,104.7114055555555""","""-2.916513888888889,104.7120194444445""",0.323,0.92,21.1,Moderate,58.95
Angkot Feeder Koridor 8,2025-09-29,Monday,08:58:57,09:00:49,17,18,Asrama Haji B,Kerajinan Karet B,"""-2.916513888888889,104.7120194444445""","""-2.910758333333333,104.7145361111111""",0.698,1.88,22.3,Moderate,60.83
Angkot Feeder Koridor 8,2025-09-29,Monday,09:00:49,09:03:54,18,19,Kerajinan Karet B,PDK,"""-2.910758333333333,104.7145361111111""","""-2.907272222222222,104.7251888888889""",1.245,3.07,24.3,Moderate,63.9
Angkot Feeder Koridor 8,2025-09-29,Monday,09:03:54,09:05:07,19,20,PDK,Simpang Bandara A,"""-2.907272222222222,104.7251888888889""","""-2.902958333333333,104.7272972222222""",0.534,1.23,26.1,Moderate,65.13
Angkot Feeder Koridor 8,2025-09-29,Monday,09:05:07,09:06:51,20,21,Simpang Bandara A,Simpang Talang Jambe,"""-2.902958333333333,104.7272972222222""","""-2.895658333333333,104.7260027777778""",0.824,1.73,28.7,Light,66.86
Angkot Feeder Koridor 8,2025-09-29,Monday,09:06:51,09:07:50,21,22,Simpang Talang Jambe,YAPIS Hikmatul Furqon A,"""-2.895658333333333,104.7260027777778""","""-2.896013888888889,104.7227416666667""",0.364,0.98,22.4,Moderate,67.84
Angkot Feeder Koridor 8,2025-09-29,Monday,09:07:50,09:08:52,22,23,YAPIS Hikmatul Furqon A,Perum Graha Utama Bandara,"""-2.896013888888889,104.7227416666667""","""-2.895738888888889,104.7190888888889""",0.407,1.03,23.7,Moderate,68.87
Angkot Feeder Koridor 8,2025-09-29,Monday,09:08:52,09:09:34,23,24,Perum Graha Utama Bandara,Simpang Karantina A,"""-2.895738888888889,104.7190888888889""","""-2.896233333333333,104.7163416666667""",0.31,0.71,26.3,Moderate,69.58
Angkot Feeder Koridor 8,2025-09-29,Monday,09:09:34,09:09:36,24,25,Simpang Karantina A,Simpang Karantina B,"""-2.896233333333333,104.7163416666667""","""-2.896163888888889,104.7163444444444""",0.008,0.02,26.0,Moderate,69.6
Angkot Feeder Koridor 8,2025-09-29,Monday,09:09:36,09:10:18,25,26,Simpang Karantina B,Perum Graha Utama Bandara B,"""-2.896163888888889,104.7163444444444""","""-2.895672222222222,104.7189583333333""",0.295,0.71,24.9,Moderate,70.31
Angkot Feeder Koridor 8,2025-09-29,Monday,09:10:18,09:11:52,26,27,Perum Graha Utama Bandara B,YAPIS Hikmatul Furqon B,"""-2.895672222222222,104.7189583333333""","""-2.895005555555556,104.7245833333333""",0.629,1.57,24.0,Moderate,71.88
Angkot Feeder Koridor 8,2025-09-29,Monday,09:11:52,09:12:25,27,28,YAPIS Hikmatul Furqon B,Lorong Bambu Kuning,"""-2.895005555555556,104.7245833333333""","""-2.896638888888889,104.7257277777778""",0.222,0.54,24.5,Moderate,72.42
Angkot Feeder Koridor 8,2025-09-29,Monday,09:12:25,09:15:13,28,29,Lorong Bambu Kuning,PDK B,"""-2.896638888888889,104.7257277777778""","""-2.907849999999999,104.7248638888889""",1.25,2.81,26.7,Moderate,75.23
Angkot Feeder Koridor 8,2025-09-29,Monday,09:15:13,09:17:12,29,30,PDK B,Palembang Asrama Haji,"""-2.907849999999999,104.7248638888889""","""-2.909666666666666,104.71835""",0.751,1.97,22.8,Moderate,77.2
Angkot Feeder Koridor 8,2025-09-29,Monday,09:17:12,09:17:49,30,31,Palembang Asrama Haji,BCA,"""-2.909666666666666,104.71835""","""-2.910311111111111,104.7161333333333""",0.256,0.63,24.4,Moderate,77.83
Angkot Feeder Koridor 8,2025-09-29,Monday,09:17:49,09:19:57,31,32,BCA,Asrama Haji A,"""-2.910311111111111,104.7161333333333""","""-2.917041666666667,104.7122111111111""",0.866,2.12,24.5,Moderate,79.95
Angkot Feeder Koridor 8,2025-09-29,Monday,09:19:57,09:20:34,32,33,Asrama Haji A,LRT Asrama Haji,"""-2.917041666666667,104.7122111111111""","""-2.919558333333333,104.7119138888889""",0.282,0.63,26.7,Moderate,80.58
Angkot Feeder Koridor 8,2025-09-29,Monday,09:20:34,09:20:37,33,34,LRT Asrama Haji,Untitled Placemark,"""-2.919558333333333,104.7119138888889""","""-2.919480555555556,104.7117722222222""",0.018,0.04,25.0,Moderate,80.62
Angkot Feeder Koridor 8,2025-09-29,Monday,09:20:37,09:26:49,34,35,Untitled Placemark,Untitled Placemark,"""-2.919480555555556,104.7117722222222""","""-2.896227777777778,104.7163111111111""",2.634,6.2,25.5,Moderate,86.82
Angkot Feeder Koridor 8,2025-09-29,Monday,09:00:00,09:06:48,1,2,Unknown,Unknown,"""-2.8950056,104.7245833""","""-2.9194806,104.7117722""",3.071,6.8,27.1,Light,6.8
Angkot Feeder Koridor 8,2025-09-29,Monday,09:06:48,09:14:42,2,3,Unknown,Head south on Lrg. Tj. Harapan toward Jl. AMD,"""-2.9194806,104.7117722""","""-2.8949988,104.7245572""",3.07,7.91,23.3,Moderate,14.71
Angkot Feeder Koridor 8,2025-09-29,Monday,09:14:42,09:14:43,3,4,Head south on Lrg. Tj. Harapan toward Jl. AMD,Turn left onto Jl. AMD,"""-2.8949988,104.7245572""","""-2.8950945,104.7245324""",0.011,0.02,29.3,Light,14.73
Angkot Feeder Koridor 8,2025-09-29,Monday,09:14:43,09:15:18,4,5,Turn left onto Jl. AMD,Turn right onto Jl. Tj. Api-Api/Jl. Tj. Siapi Api,"""-2.8950945,104.7245324""","""-2.8953786,104.7265849""",0.23,0.58,23.7,Moderate,15.31
