observation_id,respondent_id,alternative_index,label,optimized_for,time_minutes,cost_rupiah,transfers,access_km,comfort,reliability,age,gender,occupation,income,vehicle_ownership,trip_purpose,transit_frequency,pref_time,pref_cost,pref_comfort,pref_accessibility,pref_reliability,chosen
5,b38afdb4-49a8-404a-9787-42d99a365b52,1,Termurah,cost,55.622482101954255,5000.0,1.0,0.5181548258305141,3.373772203054684,3.567159056978303,18-25,Perempuan,Pelajar/Mahasiswa,1-3 juta,Motor,Sekolah/Kuliah,Setiap hari,3.0,3.0,3.0,3.0,3.0,0
5,b38afdb4-49a8-404a-9787-42d99a365b52,2,Kendaraan Pribadi,private_vehicle,27.6,2302.0,0.0,0.0,4.0,3.0000000000000004,18-25,Perempuan,Pelajar/Mahasiswa,1-3 juta,Motor,Sekolah/Kuliah,Setiap hari,3.0,3.0,3.0,3.0,3.0,0
6,3b99966b-d90b-40f7-9883-3568c82c13b9,0,Rekomendasi,time,66.25261500527613,5000.0,1.0,0.19784544203488746,2.649394110478796,3.0210635926337144,18-25,Laki-laki,Pelajar/Mahasiswa,<1 juta,Motor,Sekolah/Kuliah,Beberapa kali sebulan,,,,,,1
6,3b99966b-d90b-40f7-9883-3568c82c13b9,1,Kendaraan Pribadi,private_vehicle,37.4,3115.0,0.0,0.0,4.0,3.0,18-25,Laki-laki,Pelajar/Mahasiswa,<1 juta,Motor,Sekolah/Kuliah,Beberapa kali sebulan,,,,,,0
7,c9f08fc9-b07f-42e7-8b4b-a523add821c2,0,Rekomendasi,time,89.56685040110067,10000.0,2.0,1.080230342931014,2.6499378881988815,3.1745925532459522,<18,Perempuan,Pelajar/Mahasiswa,1-3 juta,Mobil,Sekolah/Kuliah,Jarang/tidak pernah,5.0,3.0,5.0,3.0,5.0,1
7,c9f08fc9-b07f-42e7-8b4b-a523add821c2,1,Termurah,cost,91.33653281829086,5000.0,2.0,1.4177715612192494,2.4258213932600423,2.839551362970213,<18,Perempuan,Pelajar/Mahasiswa,1-3 juta,Mobil,Sekolah/Kuliah,Jarang/tidak pernah,5.0,3.0,5.0,3.0,5.0,0
7,c9f08fc9-b07f-42e7-8b4b-a523add821c2,2,Kendaraan Pribadi,private_vehicle,34.6,2880.0,0.0,0.0,4.0,3.0,<18,Perempuan,Pelajar/Mahasiswa,1-3 juta,Mobil,Sekolah/Kuliah,Jarang/tidak pernah,5.0,3.0,5.0,3.0,5.0,0
8,e4bdfa4f-d092-5c3b-84f5-3062f4f29d02,0,Rekomendasi,time,50.51457244752321,10000.0,1.0,0.18061360754227873,3.734898850369305,4.120710258265864,18-25,Perempuan,Pelajar/Mahasiswa,1-3 juta,Motor,Sekolah/Kuliah,Setiap hari,3.0,3.0,3.0,3.0,3.0,1
8,e4bdfa4f-d092-5c3b-84f5-3062f4f29d02,1,Termurah,cost,52.622482101954255,5000.0,1.0,0.5181548258305141,3.298164150528249,3.4854730046036377,18-25,Perempuan,Pelajar/Mahasiswa,1-3 juta,Motor,Sekolah/Kuliah,Setiap hari,3.0,3.0,3.0,3.0,3.0,0
8,e4bdfa4f-d092-5c3b-84f5-3062f4f29d02,2,Kendaraan Pribadi,private_vehicle,25.9,2158.0,0.0,0.0,4.0,2.9999999999999996,18-25,Perempuan,Pelajar/Mahasiswa,1-3 juta,Motor,Sekolah/Kuliah,Setiap hari,3.0,3.0,3.0,3.0,3.0,0
9,42750a80-5340-478a-a0c5-45eaaf1c2c3a,0,Rekomendasi,time,89.56466668879794,10000.0,2.0,0.9308147166622317,2.7439119382954247,3.2885836820518923,18-25,Perempuan,Pelajar/Mahasiswa,<1 juta,Motor dan mobil,Sekolah/Kuliah,Jarang/tidak pernah,5.0,3.0,5.0,5.0,5.0,0
9,42750a80-5340-478a-a0c5-45eaaf1c2c3a,1,Termurah,cost,91.33434910598811,5000.0,2.0,1.268355934950467,2.5179692560381475,2.951325804057739,18-25,Perempuan,Pelajar/Mahasiswa,<1 juta,Motor dan mobil,Sekolah/Kuliah,Jarang/tidak pernah,5.0,3.0,5.0,5.0,5.0,0
9,42750a80-5340-478a-a0c5-45eaaf1c2c3a,2,Kendaraan Pribadi,private_vehicle,30.7,2558.0,0.0,0.0,4.0,3.0,18-25,Perempuan,Pelajar/Mahasiswa,<1 juta,Motor dan mobil,Sekolah/Kuliah,Jarang/tidak pernah,5.0,3.0,5.0,5.0,5.0,1
10,f5bea473-50eb-45e0-bf9d-5eced2e6bfd3,0,Rekomendasi,time,80.49680669322065,5000.0,1.0,0.8627934613479347,2.6702296019913363,2.9188089067465217,18-25,Perempuan,Pelajar/Mahasiswa,<1 juta,Motor,Sekolah/Kuliah,Beberapa kali sebulan,3.0,3.0,3.0,5.0,5.0,0
10,f5bea473-50eb-45e0-bf9d-5eced2e6bfd3,1,Termurah,alternative,88.04143500149922,10000.0,2.0,1.20033467963617,2.4798548783975787,2.9162499104028075,18-25,Perempuan,Pelajar/Mahasiswa,<1 juta,Motor,Sekolah/Kuliah,Beberapa kali sebulan,3.0,3.0,3.0,5.0,5.0,0
10,f5bea473-50eb-45e0-bf9d-5eced2e6bfd3,2,Kendaraan Pribadi,private_vehicle,34.1,2840.0,0.0,0.0,4.0,3.0,18-25,Perempuan,Pelajar/Mahasiswa,<1 juta,Motor,Sekolah/Kuliah,Beberapa kali sebulan,3.0,3.0,3.0,5.0,5.0,1
11,ba96ee92-4109-4f6d-8f5f-3a0d3c109295,0,Rekomendasi,time,13.838715920365788,0.0,0.0,0.0,4.0,3.0,18-25,Perempuan,Pelajar/Mahasiswa,<1 juta,Mobil,Sekolah/Kuliah,Beberapa kali seminggu,,,,,,1
11,ba96ee92-4109-4f6d-8f5f-3a0d3c109295,1,Kendaraan Pribadi,private_vehicle,0.0,0.0,0.0,0.0,0.0,0.0,18-25,Perempuan,Pelajar/Mahasiswa,<1 juta,Mobil,Sekolah/Kuliah,Beberapa kali seminggu,,,,,,0
12,79481eba-a48c-4093-8263-cf7ddf70f363,0,Rekomendasi,time,37.44831232278797,5000.0,0.0,0.32723572987338034,3.3951400339584596,3.6048599660415417,<18,Perempuan,Karyawan,>10 juta,Motor dan mobil,Kerja,Jarang/tidak pernah,5.0,3.0,5.0,5.0,5.0,0
12,79481eba-a48c-4093-8263-cf7ddf70f363,1,Kendaraan Pribadi,private_vehicle,19.1,1595.0,0.0,0.0,4.0,3.0,<18,Perempuan,Karyawan,>10 juta,Motor dan mobil,Kerja,Jarang/tidak pernah,5.0,3.0,5.0,5.0,5.0,1
13,31e38237-a8cd-4eec-ab07-922eb8017778,0,Rekomendasi,time,48.42332644333242,5000.0,1.0,0.5146983520180659,2.9280487348163526,3.4831481126521453,<18,Perempuan,Pelajar/Mahasiswa,<1 juta,Motor,Sekolah/Kuliah,Jarang/tidak pernah,4.0,3.0,3.0,4.0,5.0,0
13,31e38237-a8cd-4eec-ab07-922eb8017778,1,Termurah,cost,59.36798860834424,5000.0,1.0,0.8522395703063013,2.6601817666869363,2.9953513270324397,<18,Perempuan,Pelajar/Mahasiswa,<1 juta,Motor,Sekolah/Kuliah,Jarang/tidak pernah,4.0,3.0,3.0,4.0,5.0,0
13,31e38237-a8cd-4eec-ab07-922eb8017778,2,Kendaraan Pribadi,private_vehicle,7.1,588.0,0.0,0.0,4.0,2.9999999999999996,<18,Perempuan,Pelajar/Mahasiswa,<1 juta,Motor,Sekolah/Kuliah,Jarang/tidak pernah,4.0,3.0,3.0,4.0,5.0,1
14,3ecac3be-7820-4039-9554-b5c59dd4850c,0,Rekomendasi,time,26.067558645041323,0.0,0.0,0.7413570407639246,2.170639004026167,2.8531950201308343,<18,Laki-laki,Pelajar/Mahasiswa,<1 juta,Tidak punya,Sekolah/Kuliah,Setiap hari,5.0,5.0,3.0,5.0,5.0,1
14,3ecac3be-7820-4039-9554-b5c59dd4850c,1,Tercepat,alternative,26.790350720988265,0.0,0.0,0.7622267097273252,2.1707092343058076,2.8535461715290387,<18,Laki-laki,Pelajar/Mahasiswa,<1 juta,Tidak punya,Sekolah/Kuliah,Setiap hari,5.0,5.0,3.0,5.0,5.0,0
14,3ecac3be-7820-4039-9554-b5c59dd4850c,2,Kendaraan Pribadi,private_vehicle,6.5,542.0,0.0,0.0,4.0,3.0,<18,Laki-laki,Pelajar/Mahasiswa,<1 juta,Tidak punya,Sekolah/Kuliah,Setiap hari,5.0,5.0,3.0,5.0,5.0,0
15,518b7a8c-7bd8-4d4b-8660-8dd68bb8c00e,0,Rekomendasi,time,74.81898891214011,10000.0,2.0,0.3508244186266297,2.9189014378282927,3.631436853896618,18-25,Perempuan,Pelajar/Mahasiswa,1-3 juta,Tidak punya,Sekolah/Kuliah,Beberapa kali seminggu,4.0,2.0,5.0,4.0,5.0,1
15,518b7a8c-7bd8-4d4b-8660-8dd68bb8c00e,1,Termurah,cost,76.58867132933028,5000.0,2.0,0.6883656369148651,2.645414467807907,3.2213243731317833,18-25,Perempuan,Pelajar/Mahasiswa,1-3 juta,Tidak punya,Sekolah/Kuliah,Beberapa kali seminggu,4.0,2.0,5.0,4.0,5.0,0
15,518b7a8c-7bd8-4d4b-8660-8dd68bb8c00e,2,Kendaraan Pribadi,private_vehicle,33.7,2808.0,0.0,0.0,4.0,3.0,18-25,Perempuan,Pelajar/Mahasiswa,1-3 juta,Tidak punya,Sekolah/Kuliah,Beberapa kali seminggu,4.0,2.0,5.0,4.0,5.0,0
16,04cbac75-80df-4c0d-a9f2-2165f65c1920,0,Rekomendasi,time,31.727718355203926,5000.0,0.0,0.04113965016770307,4.961100590618781,4.992220118123757,18-25,Laki-laki,Pelajar/Mahasiswa,<1 juta,Motor,Lainnya,Beberapa kali sebulan,3.0,3.0,3.0,4.0,3.0,1
16,04cbac75-80df-4c0d-a9f2-2165f65c1920,1,Kendaraan Pribadi,private_vehicle,30.1,2508.0,0.0,0.0,4.0,3.0000000000000004,18-25,Laki-laki,Pelajar/Mahasiswa,<1 juta,Motor,Lainnya,Beberapa kali sebulan,3.0,3.0,3.0,4.0,3.0,0
17,a24d9e35-3c96-4f95-8055-7316e9769181,0,Rekomendasi,time,25.253976902453786,5000.0,0.0,0.30175275030595816,3.356615335570389,3.6433846644296115,18-25,Laki-laki,Pelajar/Mahasiswa,>10 juta,Motor dan mobil,Sekolah/Kuliah,Beberapa kali sebulan,5.0,3.0,5.0,5.0,5.0,1
17,a24d9e35-3c96-4f95-8055-7316e9769181,1,Kendaraan Pribadi,private_vehicle,12.1,1008.0,0.0,0.0,4.0,3.0,18-25,Laki-laki,Pelajar/Mahasiswa,>10 juta,Motor dan mobil,Sekolah/Kuliah,Beberapa kali sebulan,5.0,3.0,5.0,5.0,5.0,0
18,2fa218f9-2d23-4970-a1b8-cc3f57856ccf,0,Rekomendasi,time,25.301007679739936,5000.0,0.0,0.3056719817464705,3.355023016182281,3.6449769838177195,18-25,Laki-laki,Pelajar/Mahasiswa,3-5 juta,Motor dan mobil,Sekolah/Kuliah,Beberapa kali sebulan,3.0,4.0,5.0,5.0,5.0,1
18,2fa218f9-2d23-4970-a1b8-cc3f57856ccf,1,Kendaraan Pribadi,private_vehicle,12.1,1008.0,0.0,0.0,4.0,3.0,18-25,Laki-laki,Pelajar/Mahasiswa,3-5 juta,Motor dan mobil,Sekolah/Kuliah,Beberapa kali sebulan,3.0,4.0,5.0,5.0,5.0,0
19,a5f921df-4bca-46f0-9f95-9479ae8f899b,0,Rekomendasi,time,29.84460177732079,5000.0,0.0,0.399669636238342,4.598249319035591,4.919649863807118,18-25,Perempuan,Pelajar/Mahasiswa,<1 juta,Motor,Lainnya,Jarang/tidak pernah,4.0,5.0,5.0,5.0,5.0,1
19,a5f921df-4bca-46f0-9f95-9479ae8f899b,1,Kendaraan Pribadi,private_vehicle,30.2,2512.0,0.0,0.0,4.0,3.0,18-25,Perempuan,Pelajar/Mahasiswa,<1 juta,Motor,Lainnya,Jarang/tidak pernah,4.0,5.0,5.0,5.0,5.0,0
20,a3e41bb6-ddb5-450c-9300-54ef42a100b4,0,Rekomendasi,time,65.5634164810832,5000.0,0.0,2.629867670462572,3.693279222124132,3.3067207778758685,<18,Perempuan,Pelajar/Mahasiswa,<1 juta,Tidak punya,Sekolah/Kuliah,Beberapa kali seminggu,,,,,,1
20,a3e41bb6-ddb5-450c-9300-54ef42a100b4,1,Kendaraan Pribadi,private_vehicle,22.7,1890.0,0.0,0.0,4.0,3.0,<18,Perempuan,Pelajar/Mahasiswa,<1 juta,Tidak punya,Sekolah/Kuliah,Beberapa kali seminggu,,,,,,0
21,fd6971aa-39c4-4c6e-a165-2c2c7c3fc2dc,0,Rekomendasi,time,47.70202375552764,5000.0,1.0,0.4537303397386641,2.9392737715478794,3.467556081110606,<18,Perempuan,Pelajar/Mahasiswa,<1 juta,Tidak punya,Sekolah/Kuliah,Beberapa kali seminggu,,,,,,1
21,fd6971aa-39c4-4c6e-a165-2c2c7c3fc2dc,1,Termurah,cost,52.671467294690075,5000.0,1.0,0.5879000522436487,2.5350455443491535,3.1029249481050076,<18,Perempuan,Pelajar/Mahasiswa,<1 juta,Tidak punya,Sekolah/Kuliah,Beberapa kali seminggu,,,,,,0
21,fd6971aa-39c4-4c6e-a165-2c2c7c3fc2dc,2,Kendaraan Pribadi,private_vehicle,8.5,710.0,0.0,0.0,4.0,3.0,<18,Perempuan,Pelajar/Mahasiswa,<1 juta,Tidak punya,Sekolah/Kuliah,Beberapa kali seminggu,,,,,,0
22,f158d3c9-c095-442f-9882-bfd77270c288,0,Rekomendasi,time,33.39354413051231,5000.0,0.0,0.29264364989736813,3.394838242234981,3.6051617577650195,<18,Perempuan,Pelajar/Mahasiswa,<1 juta,Tidak punya,Sekolah/Kuliah,Beberapa kali seminggu,5.0,4.0,5.0,5.0,4.0,1
22,f158d3c9-c095-442f-9882-bfd77270c288,1,Kendaraan Pribadi,private_vehicle,25.4,2118.0,0.0,0.0,4.0,2.9999999999999996,<18,Perempuan,Pelajar/Mahasiswa,<1 juta,Tidak punya,Sekolah/Kuliah,Beberapa kali seminggu,5.0,4.0,5.0,5.0,4.0,0
23,7a862d58-90fd-5a7b-a065-9d0743439930,0,Rekomendasi,time,47.70202375552764,5000.0,1.0,0.4537303397386641,2.9392737715478794,3.467556081110606,<18,Perempuan,Pelajar/Mahasiswa,<1 juta,Tidak punya,Sekolah/Kuliah,Beberapa kali seminggu,,,,,,1
23,7a862d58-90fd-5a7b-a065-9d0743439930,1,Termurah,cost,52.671467294690075,5000.0,1.0,0.5879000522436487,2.5350455443491535,3.1029249481050076,<18,Perempuan,Pelajar/Mahasiswa,<1 juta,Tidak punya,Sekolah/Kuliah,Beberapa kali seminggu,,,,,,0
23,7a862d58-90fd-5a7b-a065-9d0743439930,2,Kendaraan Pribadi,private_vehicle,17.6,1468.0,0.0,0.0,4.0,3.0,<18,Perempuan,Pelajar/Mahasiswa,<1 juta,Tidak punya,Sekolah/Kuliah,Beberapa kali seminggu,,,,,,0
24,8526a850-16d2-42ac-a51d-59da0af4d628,0,Rekomendasi,time,67.96252308263986,5000.0,1.0,0.2980381035078373,2.6108500369036696,3.0160979611970395,<18,Laki-laki,Pelajar/Mahasiswa,<1 juta,Motor,Sekolah/Kuliah,Beberapa kali seminggu,,,,,,1
24,8526a850-16d2-42ac-a51d-59da0af4d628,1,Termurah,alternative,69.92748121779452,5000.0,1.0,0.5004658227196177,2.592667233868494,3.0644334627687035,<18,Laki-laki,Pelajar/Mahasiswa,<1 juta,Motor,Sekolah/Kuliah,Beberapa kali seminggu,,,,,,0
24,8526a850-16d2-42ac-a51d-59da0af4d628,2,Kendaraan Pribadi,private_vehicle,39.3,4588.0,0.0,0.0,4.0,3.0,<18,Laki-laki,Pelajar/Mahasiswa,<1 juta,Motor,Sekolah/Kuliah,Beberapa kali seminggu,,,,,,0
25,6c2a9869-f264-4810-8747-38443fc6bcf8,0,Rekomendasi,time,5.419229870359041,0.0,0.0,0.0,2.5,4.500000000000001,<18,Perempuan,Pelajar/Mahasiswa,<1 juta,Tidak punya,Sekolah/Kuliah,Beberapa kali seminggu,3.0,3.0,5.0,4.0,5.0,1
25,6c2a9869-f264-4810-8747-38443fc6bcf8,1,Kendaraan Pribadi,private_vehicle,2.4,285.0,0.0,0.0,4.0,3.0,<18,Perempuan,Pelajar/Mahasiswa,<1 juta,Tidak punya,Sekolah/Kuliah,Beberapa kali seminggu,3.0,3.0,5.0,4.0,5.0,0
26,491c6cd5-9166-4dd9-ac1c-ebd8130801f5,0,Rekomendasi,time,26.78108333726197,5000.0,0.0,0.29424960901855163,3.3681533803634545,3.631846619636547,18-25,Laki-laki,Pelajar/Mahasiswa,1-3 juta,Motor,Sekolah/Kuliah,Beberapa kali seminggu,,,,,,1
26,491c6cd5-9166-4dd9-ac1c-ebd8130801f5,1,Kendaraan Pribadi,private_vehicle,10.9,1272.0,0.0,0.0,4.0,3.0,18-25,Laki-laki,Pelajar/Mahasiswa,1-3 juta,Motor,Sekolah/Kuliah,Beberapa kali seminggu,,,,,,0
27,d7870cd0-cbeb-5823-9b07-3c4aeb920ead,0,Rekomendasi,time,26.78108333726197,5000.0,0.0,0.29424960901855163,3.3681533803634545,3.631846619636547,18-25,Laki-laki,Pelajar/Mahasiswa,1-3 juta,Motor,Sekolah/Kuliah,Beberapa kali seminggu,,,,,,1
27,d7870cd0-cbeb-5823-9b07-3c4aeb920ead,1,Kendaraan Pribadi,private_vehicle,7.4,862.0,0.0,0.0,4.0,3.0000000000000004,18-25,Laki-laki,Pelajar/Mahasiswa,1-3 juta,Motor,Sekolah/Kuliah,Beberapa kali seminggu,,,,,,0
28,e2990ec1-891b-49a2-aa4b-c46decd3fbec,0,Rekomendasi,time,7.497747488381002,0.0,0.0,0.0,2.5,4.500000000000001,18-25,Laki-laki,Pelajar/Mahasiswa,1-3 juta,Mobil,Sekolah/Kuliah,Beberapa kali seminggu,4.0,4.0,5.0,3.0,3.0,1
28,e2990ec1-891b-49a2-aa4b-c46decd3fbec,1,Kendaraan Pribadi,private_vehicle,0.0,0.0,0.0,0.0,0.0,0.0,18-25,Laki-laki,Pelajar/Mahasiswa,1-3 juta,Mobil,Sekolah/Kuliah,Beberapa kali seminggu,4.0,4.0,5.0,3.0,3.0,0
29,2b780cfa-9cfa-554d-a0eb-e024002ab89a,0,Rekomendasi,time,7.447972434367516,0.0,0.0,0.0,2.5,4.5,18-25,Laki-laki,Pelajar/Mahasiswa,<1 juta,Tidak punya,Sekolah/Kuliah,Beberapa kali sebulan,5.0,4.0,4.0,4.0,3.0,1
29,2b780cfa-9cfa-554d-a0eb-e024002ab89a,1,Kendaraan Pribadi,private_vehicle,0.0,0.0,0.0,0.0,0.0,0.0,18-25,Laki-laki,Pelajar/Mahasiswa,<1 juta,Tidak punya,Sekolah/Kuliah,Beberapa kali sebulan,5.0,4.0,4.0,4.0,3.0,0
30,572c6055-f6d6-55a6-ab14-d9fd00782cae,0,Rekomendasi,time,22.81779656386334,0.0,0.0,0.0,4.0,3.0,18-25,Laki-laki,Pelajar/Mahasiswa,<1 juta,Motor,Sekolah/Kuliah,Beberapa kali seminggu,4.0,4.0,5.0,3.0,4.0,1
30,572c6055-f6d6-55a6-ab14-d9fd00782cae,1,Kendaraan Pribadi,private_vehicle,0.0,0.0,0.0,0.0,0.0,0.0,18-25,Laki-laki,Pelajar/Mahasiswa,<1 juta,Motor,Sekolah/Kuliah,Beberapa kali seminggu,4.0,4.0,5.0,3.0,4.0,0
31,5a14bbeb-554f-4acf-b040-20a3b867c3dc,0,Rekomendasi,time,41.754154261209656,5000.0,0.0,1.2956869723659914,4.075538207640301,3.8246878771515673,18-25,Laki-laki,Pelajar/Mahasiswa,<1 juta,Motor,Sekolah/Kuliah,Jarang/tidak pernah,5.0,5.0,5.0,4.0,4.0,0
31,5a14bbeb-554f-4acf-b040-20a3b867c3dc,1,Kendaraan Pribadi,private_vehicle,17.8,2075.0,0.0,0.0,4.0,3.0,18-25,Laki-laki,Pelajar/Mahasiswa,<1 juta,Motor,Sekolah/Kuliah,Jarang/tidak pernah,5.0,5.0,5.0,4.0,4.0,1
32,dfce148f-f587-4077-a112-747e1d222e10,0,Rekomendasi,time,55.8608681410098,5000.0,0.0,0.922356011858367,3.43737604211706,3.3504824342514405,18-25,Laki-laki,Pelajar/Mahasiswa,<1 juta,Motor,Sekolah/Kuliah,Jarang/tidak pernah,5.0,5.0,4.0,5.0,5.0,0
32,dfce148f-f587-4077-a112-747e1d222e10,1,Kendaraan Pribadi,private_vehicle,25.9,3022.0,0.0,0.0,4.0,2.9999999999999996,18-25,Laki-laki,Pelajar/Mahasiswa,<1 juta,Motor,Sekolah/Kuliah,Jarang/tidak pernah,5.0,5.0,4.0,5.0,5.0,1
33,18f05e27-ef30-51af-b6f6-997fdbc20ecb,0,Rekomendasi,time,81.93595341285817,10000.0,1.0,0.5150938242792862,3.5736152831899894,3.801688912099188,18-25,Laki-laki,Pelajar/Mahasiswa,<1 juta,Motor,Sekolah/Kuliah,Jarang/tidak pernah,5.0,5.0,4.0,5.0,5.0,0
33,18f05e27-ef30-51af-b6f6-997fdbc20ecb,1,Termurah,cost,82.21185975386267,5000.0,1.0,0.5150938242792862,3.2193471387664934,3.447662155498919,18-25,Laki-laki,Pelajar/Mahasiswa,<1 juta,Motor,Sekolah/Kuliah,Jarang/tidak pernah,5.0,5.0,4.0,5.0,5.0,0
33,18f05e27-ef30-51af-b6f6-997fdbc20ecb,2,Kendaraan Pribadi,private_vehicle,39.2,4570.0,0.0,0.0,4.0,3.0,18-25,Laki-laki,Pelajar/Mahasiswa,<1 juta,Motor,Sekolah/Kuliah,Jarang/tidak pernah,5.0,5.0,4.0,5.0,5.0,1
34,333ccf89-1ba8-510a-a131-5d7834a8c83d,0,Rekomendasi,time,40.39672836874648,5000.0,0.0,0.8472315788740045,3.443861702771503,3.279072646040539,18-25,Laki-laki,Pelajar/Mahasiswa,<1 juta,Motor,Sekolah/Kuliah,Jarang/tidak pernah,5.0,5.0,4.0,5.0,5.0,0
34,333ccf89-1ba8-510a-a131-5d7834a8c83d,1,Kendaraan Pribadi,private_vehicle,17.0,1982.0,0.0,0.0,4.0,3.0,18-25,Laki-laki,Pelajar/Mahasiswa,<1 juta,Motor,Sekolah/Kuliah,Jarang/tidak pernah,5.0,5.0,4.0,5.0,5.0,1
35,c1b1c33f-97ea-50e0-82cc-564600da5973,0,Rekomendasi,time,72.96070477960318,10000.0,1.0,0.5472982821463348,3.4218114230225622,3.65163051101643,18-25,Laki-laki,Pelajar/Mahasiswa,<1 juta,Motor,Sekolah/Kuliah,Jarang/tidak pernah,5.0,5.0,4.0,5.0,5.0,0
35,c1b1c33f-97ea-50e0-82cc-564600da5973,1,Termurah,cost,73.23661112060766,5000.0,1.0,0.5472982821463348,3.02469911932651,3.2547826018403283,18-25,Laki-laki,Pelajar/Mahasiswa,<1 juta,Motor,Sekolah/Kuliah,Jarang/tidak pernah,5.0,5.0,4.0,5.0,5.0,0
35,c1b1c33f-97ea-50e0-82cc-564600da5973,2,Kendaraan Pribadi,private_vehicle,28.7,3350.0,0.0,0.0,4.0,3.0,18-25,Laki-laki,Pelajar/Mahasiswa,<1 juta,Motor,Sekolah/Kuliah,Jarang/tidak pernah,5.0,5.0,4.0,5.0,5.0,1
