Bus Stop,Ordinat_X,Ordinat_Y,X,Y
H. BCA,104.72734274,-2.974222669999961,"104°43' 38,434"" E","2°58' 27,202"" S"
H. perpustakaan daerah A,104.7257942300001,-2.976122439999926,"104°43' 32,859"" E","2°58' 34,041"" S"
H. Capil,104.7246680900001,-2.978650949999974,"104°43' 28,805"" E","2°58' 43,143"" S"
H. bengkel pass,104.7244442800001,-2.983935419999966,"104°43' 27,999"" E","2°59' 2,168"" S"
H. prameswara A,104.7254156600001,-2.987684319999971,"104°43' 31,496"" E","2°59' 15,664"" S"
H. simpang sma 10 A,104.7266623800001,-2.99189526999993,"104°43' 35,985"" E","2°59' 30,823"" S"
H. smkn 3,104.7300787600001,-2.987392229999955,"104°43' 48,284"" E","2°59' 14,612"" S"
H. Unsri A,104.7323203400001,-2.987073259999932,"104°43' 56,353"" E","2°59' 13,464"" S"
H. padang selasa,104.7338621600001,-2.988838299999941,"104°44' 1,904"" E","2°59' 19,818"" S"
H. PHB A,104.74230636,-2.987270619999947,"104°44' 32,303"" E","2°59' 14,174"" S"
H. jasarahaja,104.74409961,-2.986743839999974,"104°44' 38,759"" E","2°59' 12,278"" S"
H. PDPDE,104.74459132,-2.983273849999932,"104°44' 40,529"" E","2°58' 59,786"" S"
H. bank mandiri,104.7452239,-2.981669579999959,"104°44' 42,806"" E","2°58' 54,010"" S"
H. Simpang PI,104.7446109700001,-2.977004399999957,"104°44' 40,599"" E","2°58' 37,216"" S"
H. PI,104.7464062000001,-2.978619549999966,"104°44' 47,062"" E","2°58' 43,030"" S"
H. Kantor Pos,104.7454532800001,-2.98151831999996,"104°44' 43,632"" E","2°58' 53,466"" S"
H. Kantor Camat Bukit Kecil,104.7446750200001,-2.983657639999953,"104°44' 40,830"" E","2°59' 1,168"" S"
H. Gajah Mada,104.74437707,-2.985556699999949,"104°44' 39,757"" E","2°59' 8,004"" S"
H. PHB,104.7418254000001,-2.98748221999997,"104°44' 30,571"" E","2°59' 14,936"" S"
H. Kemang Manis,104.7383137000001,-2.98917351999997,"104°44' 17,929"" E","2°59' 21,025"" S"
H. Pasca Sarjana,104.7290500200001,-2.990337549999939,"104°43' 44,580"" E","2°59' 25,215"" S"
H. Simpang SMA 10,104.7266162800001,-2.992099119999984,"104°43' 35,819"" E","2°59' 31,557"" S"
H. Parameswara,104.7255322200001,-2.988501749999978,"104°43' 31,916"" E","2°59' 18,606"" S"
H. PMK,104.72438443,-2.984213029999982,"104°43' 27,784"" E","2°59' 3,167"" S"
H. Kancil Putih,104.72422077,-2.980254319999975,"104°43' 27,195"" E","2°58' 48,916"" S"
H. Perpustakaan Daerah,104.72561418,-2.976196629999948,"104°43' 32,211"" E","2°58' 34,308"" S"
H. RS Siti Khadijah,104.7320567400001,-2.970041249999959,"104°43' 55,404"" E","2°58' 12,148"" S"
H. Griya Agung,104.7269361800001,-2.974471639999954,"104°43' 36,970"" E","2°58' 28,098"" S"
H. LRT Demang,104.7357951000001,-2.964321549999969,"104°44' 8,862"" E","2°57' 51,558"" S"
H. Sersan Sani,104.75017289,-2.954229399999978,"104°45' 0,622"" E","2°57' 15,226"" S"
H. BLPTB,104.75304714,-2.953209299999967,"104°45' 10,970"" E","2°57' 11,553"" S"
H. R. Sukamto,104.7574669900001,-2.952100319999948,"104°45' 26,881"" E","2°57' 7,561"" S"
H. PTC,104.7612915400001,-2.951715289999955,"104°45' 40,650"" E","2°57' 6,175"" S"
H. Komplek Kedamaian,104.7748273400001,-2.949168849999982,"104°46' 29,378"" E","2°56' 57,008"" S"
H. Kumbang,104.7776538000001,-2.949017349999993,"104°46' 39,554"" E","2°56' 56,462"" S"
H. PLN Celentang,104.7843666600001,-2.950404679999959,"104°47' 3,720"" E","2°57' 1,457"" S"
H. The Basilica,104.7854418900001,-2.948831059999997,"104°47' 7,591"" E","2°56' 55,792"" S"
H. Azzahra,104.7840244100001,-2.94239789999995,"104°47' 2,488"" E","2°56' 32,632"" S"
H. Lrg Pancasila,104.7829736900001,-2.939994559999954,"104°46' 58,705"" E","2°56' 23,980"" S"
H. Lrg. Manalagi,104.78297301,-2.937059149999928,"104°46' 58,703"" E","2°56' 13,413"" S"
Terminal Sako,104.79039943,-2.931202319999961,"104°47' 25,438"" E","2°55' 52,328"" S"
